id,label,depth
1,BWC-037-1@00:02.586,596.5
2,BWC-037-2@00:05.064,596.499693
3,BWC-037-3@00:05.242,596.499343
4,BWC-037-4@00:05.444,596.499048
5,BWC-037-5@00:05.811,596.498718
6,BWC-037-6@00:05.983,596.498363
7,BWC-037-7@00:06.185,596.498057
8,BWC-037-8@00:07.429,596.497692
9,BWC-037-9@00:07.606,596.497442
10,BWC-037-10@00:08.118,596.497113
11,BWC-037-11@00:08.290,596.496749
12,BWC-037-12@00:08.546,596.496391
13,BWC-037-13@00:08.677,596.49606
14,BWC-037-14@00:14.536,596.495738
15,BWC-037-15@00:14.711,596.495408
16,BWC-037-16@00:14.884,596.495044
17,BWC-037-17@00:15.181,596.494689
18,BWC-037-18@00:15.343,596.494439
19,BWC-037-19@00:15.564,596.494109
20,BWC-037-20@00:23.058,596.493788
21,BWC-037-21@00:23.237,596.49347
22,BWC-037-22@00:23.494,596.493144
23,BWC-037-23@00:23.661,596.492814
24,BWC-037-24@00:55.904,596.492516
25,BWC-037-25@01:50.128,596.492183
26,BWC-037-26@01:51.179,596.491876
27,BWC-037-27@01:51.340,596.49158
28,BWC-037-28@01:51.599,596.491249
29,BWC-037-29@03:14.271,596.490955
30,BWC-037-30@03:14.524,596.490692
31,BWC-037-31@06:45.501,596.490367
32,BWC-037-32@06:45.648,596.490036
33,BWC-037-33@06:45.803,596.489714
34,BWC-037-34@06:45.959,596.489387
35,BWC-037-35@06:46.126,596.489056
36,BWC-037-36@06:46.296,596.48879
37,BWC-037-37@06:46.507,596.488473
38,BWC-037-38@07:28.026,596.488148
39,BWC-037-39@07:28.261,596.487817
40,BWC-037-40@07:28.362,596.487475
41,BWC-037-41@07:28.438,596.487177
42,BWC-037-42@07:28.518,596.486847
43,BWC-037-43@07:28.600,596.486516
44,BWC-037-44@07:28.691,596.486195
45,BWC-037-45@07:28.787,596.485865
46,BWC-037-46@07:28.877,596.485539
47,BWC-037-47@07:28.974,596.48524
48,BWC-037-48@07:30.195,596.48491
49,BWC-037-49@07:30.314,596.484579
50,BWC-037-50@07:30.423,596.484331
51,BWC-037-51@07:30.535,596.48407
52,BWC-037-52@07:30.649,596.48374
53,BWC-037-53@07:30.769,596.483431
54,BWC-037-54@07:30.884,596.483124
55,BWC-037-55@07:30.996,596.482794
56,BWC-037-56@07:31.089,596.482463
57,BWC-037-57@07:31.178,596.482133
58,BWC-037-58@07:31.348,596.481848
59,BWC-037-59@07:31.423,596.481507
60,BWC-037-60@07:31.499,596.481176
61,BWC-037-61@07:31.575,596.480846
62,BWC-037-62@07:31.650,596.480516
63,BWC-037-63@07:31.720,596.480185
64,BWC-037-64@07:31.792,596.479951
65,BWC-037-65@07:31.863,596.47962
66,BWC-037-66@07:31.934,596.479293
67,BWC-037-67@07:32.006,596.478974
68,BWC-037-68@07:32.077,596.478714
69,BWC-037-69@07:32.149,596.478414
70,BWC-037-70@07:32.219,596.478083
71,BWC-037-71@07:32.289,596.477755
72,BWC-037-72@07:32.360,596.477431
73,BWC-037-73@07:32.431,596.477094
74,BWC-037-74@07:32.501,596.476773
75,BWC-037-75@07:32.570,596.476443
76,BWC-037-76@07:32.638,596.476143
77,BWC-037-77@07:32.706,596.475813
78,BWC-037-78@07:32.772,596.475546
79,BWC-037-79@07:32.836,596.475216
80,BWC-037-80@07:32.898,596.474885
81,BWC-037-81@07:32.959,596.474554
82,BWC-037-82@07:33.020,596.474223
83,BWC-037-83@07:33.081,596.473973
84,BWC-037-84@07:33.140,596.473643
85,BWC-037-85@07:33.200,596.473313
86,BWC-037-86@07:33.260,596.472982
87,BWC-037-87@07:33.319,596.472714
88,BWC-037-88@07:33.435,596.472442
89,BWC-037-89@07:33.494,596.472112
90,BWC-037-90@07:33.553,596.471782
91,BWC-037-91@07:33.610,596.471451
92,BWC-037-92@07:33.667,596.471121
93,BWC-037-93@07:33.831,596.470791
94,BWC-037-94@07:33.885,596.47046
95,BWC-037-95@07:33.941,596.470086
96,BWC-037-96@07:33.996,596.46974
